locationName,parkID,parkName,lat,lng,capacity,emptyCapacity,updateDate,workHours,parkType,freeTime,monthlyFee,tariff,district,address,areaPolygon
0231 Abide-i Hürriyet Caddesi,105,Abide-i Hürriyet Caddesi 6,41.0614,28.9874,40,36,17.05.2024 18:15:42,08:00-18:00,YOL ÜSTÜ,15,1850.0,"0-1 Saat : 52,00;1-2 Saat : 66,00;2-4 Saat : 95,00;4-8 Saat : 120,00;Tam Gün : 145,00",ŞİŞLİ,MERKEZ MAHALLESİ ABİDE-İ HÜRRİYET CADDESİ,"POLYGON ((28.987450881839834 41.061844650460436, 28.987595721126638 41.061804202682652, 28.987407966495596 41.061165124492277, 28.987268491626821 41.0611853485808, 28.987450881839834 41.061844650460436))"
0231 Abide-i Hürriyet Caddesi,106,Abide-i Hürriyet Caddesi 7,41.0612,28.9873,40,40,17.05.2024 17:57:40,08:00-18:00,YOL ÜSTÜ,15,1850.0,"0-1 Saat : 52,00;1-2 Saat : 66,00;2-4 Saat : 95,00;4-8 Saat : 120,00;Tam Gün : 145,00",ŞİŞLİ,MERKEZ MAHALLESİ ABİDE-İ HÜRRİYET CADDESİ,"POLYGON ((28.987351736344102 41.061339312725515, 28.987464389122728 41.061315043875375, 28.987319549835924 41.060805395953508, 28.987180074967149 41.060833709830547, 28.987351736344102 41.061339312725515))"
0231 Abide-i Hürriyet Caddesi,107,Abide-i Hürriyet Caddesi 8,41.059,28.9863,30,13,17.05.2024 17:44:34,08:00-18:00,YOL ÜSTÜ,15,1850.0,"0-1 Saat : 52,00;1-2 Saat : 66,00;2-4 Saat : 95,00;4-8 Saat : 120,00;Tam Gün : 145,00",ŞİŞLİ,MERKEZ MAHALLESİ ABİDE-İ HÜRRİYET CADDESİ,"POLYGON ((28.986425644212641 41.059352850431821, 28.986559754663386 41.059300266323689, 28.986221796327509 41.058685433632277, 28.986098414712824 41.058713748421937, 28.986425644212641 41.059352850431821))"
0867 Acıbadem Açık Otoparkı,2452,Acıbadem Açık Otoparkı,41.0157,29.0574,100,92,17.05.2024 22:45:05,06:30-16:30,AÇIK OTOPARK,0,1100.0,"Tam Gün : 70,00",ÜSKÜDAR,ÜSKÜDAR İLÇESİ ACIBADEM CADDESİ DOĞA KOLEJİ KARŞISI,"POLYGON ((29.056888452762063 41.015523683484915, 29.057778946155008 41.016062015276425, 29.058041802638467 41.01606606286721, 29.058132997744973 41.016001301384684, 29.057167402499612 41.015313206701, 29.056888452762063 41.015523683484915))"
0353 Acıbadem Yol Üstü Otoparkı,1084,Acıbadem Yol Üstü Otoparkı 1,41.0138,29.0595,80,80,17.05.2024 16:29:26,06:30-16:30,YOL ÜSTÜ,0,1100.0,"Tam Gün : 70,00",ÜSKÜDAR,ÜSKÜDAR İLÇESİ METROBÜS ACIBADEM DURAĞI,"POLYGON ((29.059796433812544 41.013646035754171, 29.059270720845625 41.013899018978492, 29.059332411652967 41.01394354392545, 29.059839349156782 41.013682465398354, 29.059796433812544 41.013646035754171))"
0288 Bebek Arnavutköy Caddesi,345,Ada Karşısı 1,41.0613,29.0376,25,7,17.05.2024 22:39:51,08:00-23:00,YOL ÜSTÜ,15,2500.0,"0-1 Saat : 52,00;1-2 Saat : 66,00;2-4 Saat : 100,00;4-8 Saat : 125,00;Tam Gün : 145,00",BEŞİKTAŞ,ARNAVUTKÖY BEBEK CADDESİ / BEŞİKTAŞ,"POLYGON ((29.037543988976843 41.06122935979996, 29.0375634349922 41.061215708550037, 29.03770022765196 41.061355760127711, 29.03768212274111 41.061360816135775, 29.037543988976843 41.06122935979996))"
0288 Bebek Arnavutköy Caddesi,346,Ada Karşısı Cep 2,41.072,29.045,30,16,17.05.2024 22:12:36,08:00-23:00,YOL ÜSTÜ,15,2500.0,"0-1 Saat : 52,00;1-2 Saat : 66,00;2-4 Saat : 100,00;4-8 Saat : 125,00;Tam Gün : 145,00",BEŞİKTAŞ,ARNAVUTKÖY BEBEK CADDESİ / BEŞİKTAŞ,"POLYGON ((29.04492781736548 41.072221681475057, 29.044847351095033 41.072195394571054, 29.044962686082673 41.071734361007358, 29.0450753388613 41.071746493510972, 29.0449492750376 41.072227747682192, 29.04492781736548 41.072221681475057))"
0246 Levent Adliye Önü,194,Adliye Önü 1,41.0795,29.0118,40,40,17.05.2024 16:54:04,07:00-17:00,YOL ÜSTÜ,15,0.0,"0-1 Saat : 52,00;1-2 Saat : 66,00;2-4 Saat : 100,00;4-8 Saat : 125,00;Tam Gün : 145,00",ŞİŞLİ,BÜYÜKDERE CADDESİ/ ŞİŞLİ,"POLYGON ((29.011805747776229 41.079455305212747, 29.011898283987243 41.079486643828126, 29.011773561268051 41.079647380362481, 29.011697118311126 41.079613009061134, 29.011805747776229 41.079455305212747))"
1283 Adnan Kahveci Metro Açık Otoparkı,2357,Adnan Kahveci Metro Açık Otoparkı,40.8949,29.2274,40,23,17.05.2024 17:22:13,07:30-17:30,AÇIK OTOPARK,0,0.0,"0-1 Saat : 52,00;1-2 Saat : 66,00;2-4 Saat : 73,00;4-8 Saat : 100,00;8-12 Saat : 134,00;Tam Gün : 200,00",PENDİK,YEŞİLBAĞLAR MAHALLESİ KAPTAN SOKAK,"POLYGON ((29.227154459006609 40.8948377119577, 29.227446819789233 40.895068848287636, 29.227685536391558 40.894888399818484, 29.227398540026964 40.894655235337289, 29.227154459006609 40.8948377119577))"
1634 Adnan Menderes Vatan Bulvarı,3105,Adnan Menderes Vatan Bulvarı 1,41.0208,28.9341,35,25,17.05.2024 16:38:26,07:00-17:00,YOL ÜSTÜ,0,0.0,"0-1 Saat : 52,00;1-2 Saat : 66,00;2-4 Saat : 95,00;4-8 Saat : 120,00;Tam Gün : 145,00",FATİH,ARPA EMİNİ MAHALLESİ ADNAN MENDERS BULVARI FATİH,"POLYGON ((28.933893216681117 41.020885555614491, 28.93394954307043 41.020921981255114, 28.934362603258723 41.020660930385475, 28.934300912451381 41.020618433634354, 28.933893216681117 41.020885555614491))"
1634 Adnan Menderes Vatan Bulvarı,3106,Adnan Menderes Vatan Bulvarı 2,41.0195,28.936,35,30,17.05.2024 16:54:45,07:00-17:00,YOL ÜSTÜ,0,0.0,"0-1 Saat : 52,00;1-2 Saat : 66,00;2-4 Saat : 95,00;4-8 Saat : 120,00;Tam Gün : 145,00",FATİH,ARPA EMİNİ MAHALLESİ ADNAN MENDERS BULVARI FATİH,"POLYGON ((28.935767825357924 41.019558181654688, 28.935824151747237 41.019592584342455, 28.936333771460067 41.019232367073734, 28.936282809488784 41.019189869400854, 28.935767825357924 41.019558181654688))"
1634 Adnan Menderes Vatan Bulvarı,3107,Adnan Menderes Vatan Bulvarı 3,41.0195,28.936,35,27,17.05.2024 16:51:02,07:00-17:00,YOL ÜSTÜ,0,0.0,"0-1 Saat : 52,00;1-2 Saat : 66,00;2-4 Saat : 95,00;4-8 Saat : 120,00;Tam Gün : 145,00",FATİH,ARPA EMİNİ MAHALLESİ ADNAN MENDERS BULVARI FATİH,"POLYGON ((28.935771696856527 41.019558526891124, 28.935830705454855 41.019596976952528, 28.936257176688223 41.01928937583272, 28.936211579134969 41.019250925591749, 28.935771696856527 41.019558526891124))"
1634 Adnan Menderes Vatan Bulvarı,3108,Adnan Menderes Vatan Bulvarı 4,41.0208,28.934,35,35,17.05.2024 16:57:30,07:00-17:00,YOL ÜSTÜ,0,0.0,"0-1 Saat : 52,00;1-2 Saat : 66,00;2-4 Saat : 95,00;4-8 Saat : 120,00;Tam Gün : 145,00",FATİH,ARPA EMİNİ MAHALLESİ ADNAN MENDERS BULVARI FATİH,"POLYGON ((28.933771126570615 41.020978121474919, 28.933827452959928 41.021018594350814, 28.934251241984281 41.020725165437071, 28.934178822340879 41.020688739687571, 28.933771126570615 41.020978121474919))"
1634 Adnan Menderes Vatan Bulvarı,3109,Adnan Menderes Vatan Bulvarı 5,41.0195,28.936,35,35,17.05.2024 16:54:15,07:00-17:00,YOL ÜSTÜ,0,0.0,"0-1 Saat : 52,00;1-2 Saat : 66,00;2-4 Saat : 95,00;4-8 Saat : 120,00;Tam Gün : 145,00",FATİH,ARPA EMİNİ MAHALLESİ ADNAN MENDERS BULVARI FATİH,"POLYGON ((28.935730207128913 41.019592571927632, 28.93578921572724 41.019622927225448, 28.936253237886817 41.019289018180004, 28.936202275915534 41.019254615333665, 28.935730207128913 41.019592571927632))"
1634 Adnan Menderes Vatan Bulvarı,3110,Adnan Menderes Vatan Bulvarı 6,41.0208,28.934,35,35,17.05.2024 16:51:26,07:00-17:00,YOL ÜSTÜ,0,0.0,"0-1 Saat : 52,00;1-2 Saat : 66,00;2-4 Saat : 95,00;4-8 Saat : 120,00;Tam Gün : 145,00",FATİH,ARPA EMİNİ MAHALLESİ ADNAN MENDERS BULVARI FATİH,"POLYGON ((28.933761638884778 41.020982293026016, 28.933817965274091 41.021018718613149, 28.934292716269727 41.020696958563228, 28.934239072089429 41.020666603760404, 28.933761638884778 41.020982293026016))"
0518 Ümraniye Afiyet Hastanesi Önü,215,Afiyet Hastanesi Önü 1,41.0241,29.0842,20,12,17.05.2024 17:44:40,08:00-18:00,YOL ÜSTÜ,15,0.0,"0-1 Saat : 52,00;1-2 Saat : 66,00;2-4 Saat : 90,00;4-8 Saat : 110,00;Tam Gün : 145,00",ÜMRANİYE,SÜTÇÜ İMAM CADDESİ ALEMDAĞ CADDESİ ARKASI AFİYET HASTANESİ ÖNÜ ÜMRANİYE,"POLYGON ((29.084006624650154 41.024159790263262, 29.084526973199043 41.0241162839958, 29.084522949885521 41.024085930768905, 29.084005283545647 41.024121342865584, 29.084006624650154 41.024159790263262))"
0083 Ahmet Fetgeri-Camii Sokak,26,Ahmet Fetgeri-Camii Sokak,41.0501,28.9942,21,8,17.05.2024 17:46:02,08:00-18:00,YOL ÜSTÜ,15,1850.0,"0-1 Saat : 52,00;1-2 Saat : 66,00;2-4 Saat : 95,00;4-8 Saat : 120,00;Tam Gün : 145,00",ŞİŞLİ,TEŞVİKİYE CADDESİ TEŞVİKİYE CAMİİ ARKASI NİŞANTAŞI ŞİŞLİ,"POLYGON ((28.994001980737831 41.050371983769232, 28.99391346784034 41.050327483451831, 28.99441235871711 41.04968829375359, 28.994519647077706 41.049722680699226, 28.994020756200936 41.050378051992006, 28.994001980737831 41.050371983769232))"
