locationName,parkID,parkName,lat,lng,capacity,emptyCapacity,updateDate,workHours,parkType,freeTime,monthlyFee,tariff,district,address,areaPolygon
1206 Avcılar Denizköşkler Toplantı ve Davet Salonu Açık Otoparkı,2243,Avcılar Denizköşkler Toplantı ve Davet Salonu Açık Otoparkı,40.9746,28.7435,200,135,17.05.2024 22:45:01,24 Saat,AÇIK OTOPARK,15,0.0,"Tam Gün : 80,00",AVCILAR,DENİZKÖŞKLER MAHALLESİ,"POLYGON ((28.742873629294792 40.974525521535142, 28.743348380290428 40.974197459214139, 28.743841906749168 40.974594373913888, 28.743444939814964 40.97493458461301, 28.742873629294792 40.974525521535142))"
0256 Avcılar İdo,1088,Avcılar İdo,40.9712,28.7185,270,263,17.05.2024 22:45:04,12:00-22:00,AÇIK OTOPARK,0,0.0,"Tam Gün : 80,00",AVCILAR,AVCILAR İDO İSKELESİ,"POLYGON ((28.717642130000058 40.97129976, 28.71775746000003 40.97155898, 28.719278280000026 40.97114787, 28.719184400000017 40.97089472, 28.717642130000058 40.97129976))"
1256 Avni Akyol Bulvarı,2318,Avni Akyol Bulvarı 1,41.0707,28.6879,25,25,17.05.2024 18:28:44,09:30-18:30,YOL ÜSTÜ,15,0.0,"0-1 Saat : 36,00;1-2 Saat : 52,00;2-4 Saat : 70,00;4-8 Saat : 85,00;Tam Gün : 120,00",BAŞAKŞEHİR,Bahçeşehir 2. Kısım / BAŞAKŞEHİR,"POLYGON ((28.687969596886305 41.0708110191068, 28.68803531100717 41.070782709525396, 28.687875719570783 41.070652283082218, 28.687811346554426 41.070682614836272, 28.687969596886305 41.0708110191068))"
1256 Avni Akyol Bulvarı,2319,Avni Akyol Bulvarı 2,41.0701,28.6862,30,30,28.03.2024 18:41:50,09:30-18:30,YOL ÜSTÜ,15,0.0,"0-1 Saat : 36,00;1-2 Saat : 52,00;2-4 Saat : 70,00;4-8 Saat : 85,00;Tam Gün : 120,00",BAŞAKŞEHİR,Bahçeşehir 2. Kısım / BAŞAKŞEHİR,"POLYGON ((28.686411856523922 41.070148271096677, 28.686437337509563 41.070088618148908, 28.68607121597903 41.070035031556451, 28.686047076097896 41.070095695620118, 28.686411856523922 41.070148271096677))"
1256 Avni Akyol Bulvarı,2324,Avni Akyol Bulvarı 4,41.07,28.6854,30,25,17.05.2024 18:23:43,09:30-18:30,YOL ÜSTÜ,15,0.0,"0-1 Saat : 36,00;1-2 Saat : 52,00;2-4 Saat : 70,00;4-8 Saat : 85,00;Tam Gün : 120,00",BAŞAKŞEHİR,Bahçeşehir 2. Kısım / BAŞAKŞEHİR,"POLYGON ((28.685426446252659 41.070028908417967, 28.685431810670689 41.070003126171557, 28.685313793474034 41.069995037621609, 28.685309099608258 41.070019808802755, 28.685426446252659 41.070028908417967))"
1256 Avni Akyol Bulvarı,2322,Avni Akyol Bulvarı 5,41.07,28.6853,25,16,17.05.2024 18:18:13,09:30-18:30,YOL ÜSTÜ,15,0.0,"0-1 Saat : 36,00;1-2 Saat : 52,00;2-4 Saat : 70,00;4-8 Saat : 85,00;Tam Gün : 120,00",BAŞAKŞEHİR,Bahçeşehir 2. Kısım / BAŞAKŞEHİR,"POLYGON ((28.6853989042525 41.070024691960057, 28.685403598118278 41.069998404177625, 28.685185668635818 41.069985260282451, 28.685187680292579 41.0700105370016, 28.6853989042525 41.070024691960057))"
1441 Azapkapı Haliç Metro Otoparkı,2885,Azapkapı Haliç Metro Otoparkı,41.0245,28.9691,130,71,17.05.2024 22:45:01,24 Saat,AÇIK OTOPARK,5,2600.0,"0-1 Saat : 52,00;1-2 Saat : 66,00;2-4 Saat : 73,00;4-8 Saat : 100,00;8-12 Saat : 134,00;Tam Gün : 200,00",ŞİŞLİ,BEYOĞLU KARAKÖY PERŞEMBE PAZARI,"POLYGON ((28.969259142988641 41.024690322675809, 28.968878269308526 41.024386792423165, 28.969178676718194 41.024176343960114, 28.969473719709832 41.024386792423165, 28.969559550398309 41.024483922256216, 28.969259142988641 41.024690322675809))"
1356 Azerbaycan Dostluk Parkı Zemin Altı Otoparkı,2455,Azerbaycan Dostluk Parkı Zemin Altı Otoparkı,41.0444,28.854,400,147,17.05.2024 22:45:01,24 Saat,KAPALI OTOPARK,10,1300.0,"0-1 Saat : 36,00;1-2 Saat : 45,00;2-4 Saat : 58,00;4-8 Saat : 73,00;8-12 Saat : 112,00;Tam Gün : 145,00",BAĞCILAR,FEVZİ ÇAKMAK MAHALLESİ FATİH CADDESİ BAĞCILAR	,"POLYGON ((28.85392428479939 41.044494924465575, 28.853796879871183 41.044303758088553, 28.854083876235777 41.044204634563329, 28.8542501731947 41.044421087782588, 28.854094605071836 41.044437271172264, 28.85392428479939 41.044494924465575))"
1783 Bab-ı Ali Caddesi Yol Üstü Otoparkı,3314,Bab-ı Ali Caddesi Yol Üstü Otoparkı 1,41.0092,28.9736,45,37,16.05.2024 17:50:35,07:00-18:00,YOL ÜSTÜ,5,0.0,"0-1 Saat : 52,00;1-2 Saat : 66,00;2-4 Saat : 100,00;4-8 Saat : 125,00;Tam Gün : 145,00",FATİH,BAB-I ALİ CADDESİ FATİH / İSTANBUL,"POLYGON ((28.973728850196796 41.009480879396165, 28.973846867393451 41.0094484954261, 28.973557188819843 41.008768428377948, 28.973428442787128 41.008817004828437, 28.973728850196796 41.009480879396165))"
1783 Bab-ı Ali Caddesi Yol Üstü Otoparkı,3315,Bab-ı Ali Caddesi Yol Üstü Otoparkı 2,41.0095,28.9738,45,31,17.05.2024 17:52:26,07:00-18:00,YOL ÜSTÜ,5,0.0,"0-1 Saat : 52,00;1-2 Saat : 66,00;2-4 Saat : 100,00;4-8 Saat : 125,00;Tam Gün : 145,00",FATİH,BAB-I ALİ CADDESİ FATİH / İSTANBUL,"POLYGON ((28.973832745175656 41.009694894300843, 28.973945397954282 41.009670606403652, 28.973687905888852 41.009164606509763, 28.973618168454465 41.009201038631943, 28.973832745175656 41.009694894300843))"
1449 Bağcılar Çolakoğlu Zemin Altı Otoparkı,2965,Bağcılar Çolakoğlu Zemin Altı Otoparkı,41.0324,28.8345,106,0,17.05.2024 22:45:02,24 Saat,KAPALI OTOPARK,5,1300.0,"0-1 Saat : 36,00;1-2 Saat : 45,00;2-4 Saat : 58,00;4-8 Saat : 73,00;8-12 Saat : 112,00;Tam Gün : 145,00",BAĞCILAR,BAĞCILAR SGK YANI ÇOLAKOĞLU SOKAK,"POLYGON ((28.8344565854208 41.032407040252153, 28.834455244316292 41.032432331412537, 28.834538392795753 41.032432331412537, 28.8345377222435 41.032404511135574, 28.8344565854208 41.032407040252153))"
1253 Bağcılar Demirkapı Zemin Altı Otoparkı,2576,Bağcılar Demirkapı Zemin Altı Otoparkı,41.0499,28.8327,343,19,17.05.2024 22:45:01,24 Saat,KAPALI OTOPARK,5,1300.0,"0-1 Saat : 36,00;1-2 Saat : 45,00;2-4 Saat : 58,00;4-8 Saat : 73,00;8-12 Saat : 112,00;Tam Gün : 145,00",BAĞCILAR,DEMİRKAPI MAHALLESİ İNÖNÜ CADDESİ 3/A SK BAĞCILAR,"POLYGON ((28.832579442828312 41.05029611791516, 28.832938858836307 41.050300163401744, 28.832944223254337 41.049741883903351, 28.832574078410282 41.04972974733991, 28.832579442828312 41.05029611791516))"
1587 Bağcılar Devlet Hastanesi Yanı Zeminaltı Otoparkı,3036,Bağcılar Devlet Hastanesi Yanı Zeminaltı Otoparkı,41.0312,28.8696,1133,800,17.05.2024 22:45:02,24 Saat,KAPALI OTOPARK,15,1300.0,"0-1 Saat : 36,00;1-2 Saat : 45,00;2-4 Saat : 58,00;4-8 Saat : 73,00;8-12 Saat : 112,00;Tam Gün : 145,00",BAĞCILAR,MERKEZ MAH. EBUBEKİR CAD. NO:9 / BAĞCILAR,"POLYGON ((28.869490466482304 41.031249280618425, 28.869581661588811 41.031293793837, 28.869667492277287 41.031190604057066, 28.869549475080632 41.0311420441047, 28.869490466482304 41.031249280618425))"
1292 Bağcılar Emniyet Müdürlüğü Yanı Açık Otoparkı,3071,Bağcılar Emniyet Müdürlüğü Yanı Açık Otoparkı,41.0353,28.8598,100,0,17.05.2024 22:45:02,24 Saat,AÇIK OTOPARK,0,1300.0,"0-1 Saat : 36,00;1-2 Saat : 52,00;2-4 Saat : 58,00;4-8 Saat : 73,00;8-12 Saat : 95,00;Tam Gün : 145,00",BAĞCILAR,İSTANBUL CADDESİ 861. SOKAK,"POLYGON ((28.859669271296994 41.035391919544395, 28.859867754764096 41.035371687526442, 28.85982349831535 41.035201738330095, 28.859660986478204 41.035230785754287, 28.859669033105249 41.035384549263917, 28.859669271296994 41.035391919544395))"
1472 Bağcılar Göztepe Zemin Altı,2873,Bağcılar Göztepe Zemin Altı,41.0567,28.8355,120,0,17.05.2024 22:45:13,24 Saat,KAPALI OTOPARK,5,1300.0,"0-1 Saat : 36,00;1-2 Saat : 45,00;2-4 Saat : 58,00;4-8 Saat : 73,00;8-12 Saat : 112,00;Tam Gün : 145,00",BAĞCILAR,BAĞCILAR GÖZTEPE MAHALLAESİ 2349 SK.,"POLYGON ((28.835444953845261 41.056783297003953, 28.835576382086991 41.056783297003953, 28.835600521968125 41.056781274460022, 28.83560320417714 41.056680147184281, 28.835654166148423 41.056508230458718, 28.835662212775468 41.056449576414238, 28.835174050734757 41.056427328314754, 28.835163321898698 41.056726665750418, 28.835206237242936 41.056807567526235, 28.835399356292008 41.056773184283678, 28.835444953845261 41.056783297003953))"
1331 Bağcılar Halk Sarayı Yanı Açık Otoparkı,2426,Bağcılar Halk Sarayı Yanı Açık Otoparkı,41.0418,28.8354,145,136,17.05.2024 17:57:10,08:00-22:00,AÇIK OTOPARK,0,0.0,"Tam Gün : 60,00",BAĞCILAR,GÜNEŞLİ MAHALLESİ DÖKÜMCÜLER CADDESİ BAĞCILAR,"POLYGON ((28.834875959694266 41.041892356157234, 28.835804004013418 41.041892356157234, 28.835787910759329 41.041431110156445, 28.834859866440176 41.041459432372449, 28.834875959694266 41.041892356157234))"
1692 Bağcılar Hürriyet Mahallesi Zemin Altı Otoparkı,3187,Bağcılar Hürriyet Mahallesi Zemin Altı Otoparkı,41.0291,28.8333,355,184,17.05.2024 22:45:02,24 Saat,KAPALI OTOPARK,0,1300.0,"0-1 Saat : 36,00;1-2 Saat : 45,00;2-4 Saat : 58,00;4-8 Saat : 73,00;8-12 Saat : 112,00;Tam Gün : 145,00",BAĞCILAR,HÜRRİYET MAHALLESİ YILDIRIM BEYAZIT CADDESİ / BAĞCILAR,"POLYGON ((28.833363446913285 41.029070071329237, 28.832658025942369 41.029059954349613, 28.832459542475267 41.029586035228796, 28.833087179384751 41.029703391159181, 28.833363446913285 41.029070071329237))"
1515 Bağcılar Kent Meydanı Zemin Altı,2916,Bağcılar Kent Meydanı Zemin Altı,41.0339,28.8556,1162,0,17.05.2024 22:45:01,24 Saat,KAPALI OTOPARK,0,1300.0,"0-1 Saat : 36,00;1-2 Saat : 45,00;2-4 Saat : 58,00;4-8 Saat : 73,00;8-12 Saat : 112,00;Tam Gün : 145,00",BAĞCILAR,BAĞCILAR KENT MEYDANI,"POLYGON ((28.856002619651527 41.033875335914964, 28.855573466209144 41.033907707876537, 28.855321338561744 41.033950196051919, 28.855401804832191 41.034199054814266, 28.856018712905616 41.034099916070474, 28.856002619651527 41.033875335914964))"
1751 Bağcılar Yenimahalle Zemin Altı Otoparkı,3261,Bağcılar Yenimahalle Zemin Altı Otoparkı,41.0425,28.8395,525,456,17.05.2024 22:45:01,24 Saat,KAPALI OTOPARK,20,1300.0,"0-1 Saat : 36,00;1-2 Saat : 45,00;2-4 Saat : 58,00;4-8 Saat : 73,00;8-12 Saat : 112,00;Tam Gün : 145,00",BAĞCILAR,YENİMAHALLE MEVLANA CADDESİ NO:95 / BAĞCILAR,"POLYGON ((28.839565913981037 41.042661141524711, 28.83962224037035 41.042398153852091, 28.83960614711626 41.04201176236527, 28.839099209612446 41.042068406285352, 28.839185040300922 41.042691486188566, 28.839565913981037 41.042661141524711))"
1425 Bağcılar Yıldıztepe Katlı Otoparkı,2820,Bağcılar Yıldıztepe Katlı Otoparkı,41.0294,28.8556,350,0,17.05.2024 22:45:01,24 Saat,KAPALI OTOPARK,10,1300.0,"0-1 Saat : 36,00;1-2 Saat : 45,00;2-4 Saat : 58,00;4-8 Saat : 73,00;8-12 Saat : 112,00;Tam Gün : 145,00",BAĞCILAR,"YILDIZTEPE MAHALLESİ,ŞEHİT YILMAZ KAAN CAD. 461 SOKAK BAĞCILAR/İSTANBUL","POLYGON ((28.855563925064029 41.029610071289056, 28.855695353305759 41.029015195124373, 28.856154011047305 41.029057686457236, 28.856011853969516 41.029666725881576, 28.855563925064029 41.029610071289056))"
0329 Levent Bağlantı Yolu,191,Bağlantı Yolu 1,41.0797,29.0135,79,79,17.05.2024 15:54:52,07:00-16:00,YOL ÜSTÜ,15,2100.0,"0-1 Saat : 52,00;1-2 Saat : 66,00;2-4 Saat : 100,00;4-8 Saat : 125,00;Tam Gün : 145,00",BEŞİKTAŞ,ESKİ BÜYÜKDERE CADDESİ YAPI KREDİ PLAZA ÖNÜ LEVENT MAHALLESİ ŞİŞLİ,"POLYGON ((29.01373454956903 41.079374561547347, 29.013713091896911 41.079446337151914, 29.013662129925628 41.079535298355815, 29.013596415804763 41.079591909968343, 29.01355081825151 41.079639423248352, 29.013309419440169 41.079917425794079, 29.013203472184081 41.080032670140973, 29.01305192737474 41.080091303152194, 29.012899041460891 41.080131739681192, 29.012933910178084 41.080163077974042, 29.013061315106292 41.080131739681192, 29.01316189794435 41.08008827041153, 29.013266504095931 41.080017506422678, 29.01334562926187 41.07994573144186, 29.013470766566229 41.079802837216718, 29.013614264748526 41.079640079221605, 29.013745038211745 41.079470737933526, 29.013766495883864 41.079377732944316, 29.01373454956903 41.079374561547347))"
1554 Bahçelievler Cumhuriyet Zeminaltı Otoparkı,2993,Bahçelievler Cumhuriyet Zeminaltı Otoparkı,41.0149,28.859,663,0,17.05.2024 22:45:01,24 Saat,KAPALI OTOPARK,10,1250.0,"0-1 Saat : 52,00;1-2 Saat : 66,00;2-4 Saat : 73,00;4-8 Saat : 100,00;8-12 Saat : 134,00;Tam Gün : 200,00",BAHÇELİEVLER,BAHÇELİEVLER MAHALLESİ KIBRIS CADDESİ,"POLYGON ((28.859042159246826 41.014913416221006, 28.858167759107971 41.014992345572779, 28.858036330866241 41.015030798299641, 28.85807388179245 41.015449729185356, 28.859079710173035 41.01540722907199, 28.859042159246826 41.014913416221006))"
1446 Bahçelievler Devlet Hastanesi Yanı Katlı Otoparkı,2969,Bahçelievler Devlet Hastanesi Yanı Katlı Otoparkı,41.0072,28.8442,740,0,17.05.2024 22:45:05,24 Saat,KAPALI OTOPARK,0,1500.0,"0-1 Saat : 52,00;1-2 Saat : 66,00;2-4 Saat : 73,00;4-8 Saat : 100,00;8-12 Saat : 134,00;Tam Gün : 200,00",BAHÇELİEVLER,BAHÇELİEVLER DEVLET HASTANESİ YANI,"POLYGON ((28.843968846866559 41.007319645932085, 28.844465055534315 41.007327742187663, 28.844473102161359 41.007080805944895, 28.843966164657544 41.007072709658992, 28.843968846866559 41.007319645932085))"
1592 Bahçelievler Zafer Mh. Zeminaltı Otoparkı,3051,Bahçelievler Zafer Mh. Zeminaltı Otoparkı,41.0036,28.8351,200,0,17.05.2024 22:45:02,24 Saat,KAPALI OTOPARK,0,1500.0,"0-1 Saat : 52,00;1-2 Saat : 66,00;2-4 Saat : 73,00;4-8 Saat : 100,00;8-12 Saat : 134,00;Tam Gün : 200,00",BAHÇELİEVLER,ZAFER MAHALLESİ GÜNEŞ SOKAK BAHÇELİEVLER,"POLYGON ((28.835109101687458 41.003601627188267, 28.835164086972263 41.003583409581772, 28.835121171628025 41.003530780912442, 28.835056798611667 41.003545962263679, 28.835109101687458 41.003601627188267))"
1257 Bahçeşehir Ceylan Sokak Açık Otoparkı,2326,Bahçeşehir Ceylan Sokak Açık Otoparkı,41.0629,28.6838,80,80,17.05.2024 18:00:19,09:00-18:00,AÇIK OTOPARK,15,0.0,"0-1 Saat : 36,00;1-2 Saat : 52,00;2-4 Saat : 70,00;4-8 Saat : 85,00;Tam Gün : 120,00",BAŞAKŞEHİR,2. Kısım Mahallesi Ceylan Sokak / BAŞAKŞEHİR,"POLYGON ((28.683707370414659 41.062852104797926, 28.683701670720502 41.062898366204585, 28.683911218299791 41.062903422094053, 28.683916247441694 41.062849829645941, 28.683707370414659 41.062852104797926))"
1273 Bahçeşehir Doğa Parkı Caddesi,2346,Bahçeşehir Doğa Parkı Caddesi 1,41.0675,28.6908,22,5,17.05.2024 20:46:02,10:00-21:00,YOL ÜSTÜ,15,0.0,"0-1 Saat : 36,00;1-2 Saat : 52,00;2-4 Saat : 70,00;4-8 Saat : 85,00;Tam Gün : 120,00",BAŞAKŞEHİR,BAŞAKŞEHİR 1 .KISIM MAHALLESİ DOĞA PARKI CADDESİ,"POLYGON ((28.690841697527858 41.067516589089934, 28.690812193228695 41.067489289197411, 28.690648578478786 41.067573211053144, 28.690691493823024 41.067604555333233, 28.690841697527858 41.067516589089934))"
1273 Bahçeşehir Doğa Parkı Caddesi,3118,Bahçeşehir Doğa Parkı Caddesi 3,41.0683,28.6894,22,22,17.05.2024 20:56:33,10:00-21:00,YOL ÜSTÜ,15,0.0,"0-1 Saat : 36,00;1-2 Saat : 52,00;2-4 Saat : 70,00;4-8 Saat : 85,00;Tam Gün : 120,00",BAŞAKŞEHİR,BAŞAKŞEHİR 1 .KISIM MAHALLESİ DOĞA PARKI CADDESİ,"POLYGON ((28.689613861358723 41.068201342177488, 28.689570946014484 41.068167975988082, 28.689289314067921 41.068324695821552, 28.689336252725681 41.068366150682763, 28.689613861358723 41.068201342177488))"
1259 Bahçeşehir Gölet Açık Otoparkı,2329,Bahçeşehir Gölet Açık Otoparkı,41.072,28.69,200,200,17.05.2024 22:00:45,14:00-22:00,AÇIK OTOPARK,0,0.0,"Tam Gün : 80,00",BAŞAKŞEHİR,İç Yol Bahçeşehir 1. Kısım / BAŞAKŞEHİR,"POLYGON ((28.690009490226547 41.072189855338806, 28.690637127136032 41.072242429140744, 28.690299168800156 41.071870367484472, 28.68995048162822 41.071651982488177, 28.689355031226913 41.0714983037226, 28.690009490226547 41.072189855338806))"
0051 Bakırköy Açık,1079,Bakırköy Açık Otoparkı 1,40.9834,28.8756,40,40,17.05.2024 19:26:51,09:00-19:30,AÇIK OTOPARK,5,0.0,"0-1 Saat : 52,00;1-2 Saat : 66,00;2-4 Saat : 73,00;4-8 Saat : 100,00;8-12 Saat : 134,00;Tam Gün : 200,00",BAKIRKÖY,TERAKKİ SOKAK KARTALTEPE MAHALLESİ KARTALTEPE MAHALLE MUHTARLIĞI YANI BAKIRKÖY,"POLYGON ((28.875549139999976 40.98358127, 28.87564033000001 40.98311354, 28.875728849999973 40.98360759, 28.875549139999976 40.98358127))"
0318 Bakırköy İdo İskelesi Önü,1465,Bakırköy İdo Açık Otoparkı,40.9739,28.8761,160,82,17.05.2024 22:45:01,24 Saat,AÇIK OTOPARK,10,2100.0,"0-1 Saat : 52,00;1-2 Saat : 66,00;2-4 Saat : 73,00;4-8 Saat : 100,00;8-12 Saat : 134,00;Tam Gün : 200,00",BAKIRKÖY,ATAKÖY 1. MAHALLESİ KENEDY CADDESİ İDO İSKELESİ ÖNÜ BAKIRKÖY,"POLYGON ((28.875894848010446 40.974052887971013, 28.876179162166025 40.974137941508374, 28.876326683661844 40.973771400482008, 28.875991407534983 40.973716722916777, 28.875894848010446 40.974052887971013))"
1559 Bakırköy Sahil Cep Otoparkı,2997,Bakırköy Sahil Cep Otoparkı,40.9748,28.8784,40,40,17.05.2024 21:50:33,12:00-22:00,YOL ÜSTÜ,15,0.0,"0-1 Saat : 52,00;1-2 Saat : 66,00;2-4 Saat : 90,00;4-8 Saat : 110,00;Tam Gün : 145,00",BAKIRKÖY,ZEYTİNLİK MH. KENNEDY CADDESİ,"POLYGON ((28.87810668451144 40.974780610129685, 28.878176421945827 40.974673281693306, 28.879087031906383 40.974996279006888, 28.8790360699351 40.975071206057422, 28.87810668451144 40.974780610129685))"
1568 Bakırköy Sahil Cep Otoparkı 2,1938,Bakırköy Sahil Cep Otoparkı 2,40.9791,28.8867,50,50,17.05.2024 21:53:01,12:00-22:00,YOL ÜSTÜ,15,0.0,"Tam Gün : 80,00",BAKIRKÖY,ZEYTİNLİK MAHALLESİ KENNEDY CADDESİ BAKIRKÖY,"POLYGON ((28.8865632208595 40.979054488641921, 28.886702695728275 40.978985640918339, 28.88780776584241 40.979710563343836, 28.887641468883487 40.979803709223084, 28.8865632208595 40.979054488641921))"
0003 Balmumcu Açık,1146,Balmumcu Açık,41.062,29.0106,140,125,17.05.2024 22:19:36,07:00-23:00,AÇIK OTOPARK,5,2350.0,"0-1 Saat : 52,00;1-2 Saat : 66,00;2-4 Saat : 73,00;4-8 Saat : 100,00;8-12 Saat : 134,00;Tam Gün : 200,00",BEŞİKTAŞ,BARBAROS BULVARI BAHAR SOKAK NO:1 BEŞİKTAŞ İSTANBUL,"POLYGON ((29.010440996730054 41.06221706540564, 29.010931840979779 41.062140215041786, 29.010754815184796 41.061723603611554, 29.010277381980146 41.061834835076887, 29.010440996730054 41.06221706540564))"
0053 Balmumcu Katlı Otoparkı,1104,Balmumcu Katlı Otoparkı,41.0636,29.0109,400,333,17.05.2024 22:45:08,24 Saat,KAPALI OTOPARK,5,1700.0,"0-1 Saat : 52,00;1-2 Saat : 66,00;2-4 Saat : 73,00;4-8 Saat : 100,00;8-12 Saat : 134,00;Tam Gün : 200,00",BEŞİKTAŞ,YILDIZPOSTA CADDESİ DEDEMAN OTELİ KARŞISI YER ALTI KATLI OTOPARKI,"POLYGON ((29.010804883751611 41.063628562575168, 29.010922900948266 41.063698333040826, 29.011111996683816 41.063527445826971, 29.010971180710534 41.0634566640107, 29.010804883751611 41.063628562575168))"
0876 Başakşehir Metro Metro Açık Otoparkı,2796,Başakşehir Metro Metro Açık Otoparkı,41.107,28.801,125,104,17.05.2024 16:23:29,07:00-17:00,AÇIK OTOPARK,0,0.0,"Tam Gün : 60,00",BAŞAKŞEHİR,BAŞAKŞEHİR İLÇESİ YUNUSEMRE CADDESİ BAŞAK BULVARI,"POLYGON ((28.80089348879973 41.107391424321079, 28.801105383311906 41.107383340372422, 28.801124158775011 41.106789167420061, 28.80089348879973 41.106768957361162, 28.80089348879973 41.107391424321079))"
0504 Başkomutan Caddesi,759,Başkomutan Caddesi 1,41.0749,28.2442,16,16,17.05.2024 18:01:52,09:00-18:00,YOL ÜSTÜ,15,0.0,"0-1 Saat : 36,00;1-2 Saat : 52,00;2-4 Saat : 70,00;4-8 Saat : 85,00;Tam Gün : 120,00",SİLİVRİ,PİRİ MEHMET PAŞA MAHALLESİ AHMET ÇETİNKAYA CADDESİ 1,"POLYGON ((28.24398617695315 41.075026621752073, 28.243951308235957 41.074978094145493, 28.244678186878993 41.074654575852705, 28.244705008969142 41.074727367607395, 28.24398617695315 41.075026621752073))"
0504 Başkomutan Caddesi,760,Başkomutan Caddesi 2,41.0742,28.2458,30,20,17.05.2024 17:46:43,09:00-18:00,YOL ÜSTÜ,15,0.0,"0-1 Saat : 36,00;1-2 Saat : 52,00;2-4 Saat : 70,00;4-8 Saat : 85,00;Tam Gün : 120,00",SİLİVRİ,PİRİ MEHMET PAŞA MAHALLESİ AHMET ÇETİNKAYA CADDESİ 1,"POLYGON ((28.245542308339459 41.07427345007703, 28.245523532876355 41.074249186000209, 28.246202131757123 41.074013621788929, 28.246222248324734 41.07405204004408, 28.245542308339459 41.07427345007703))"
0504 Başkomutan Caddesi,761,Başkomutan Caddesi 3,41.0745,28.2452,30,30,09.05.2024 17:58:23,09:00-18:00,YOL ÜSTÜ,15,0.0,"0-1 Saat : 36,00;1-2 Saat : 52,00;2-4 Saat : 70,00;4-8 Saat : 85,00;Tam Gün : 120,00",SİLİVRİ,PİRİ MEHMET PAŞA MAHALLESİ AHMET ÇETİNKAYA CADDESİ 1,"POLYGON ((28.245488658953928 41.074362351708878, 28.245408192683481 41.074334043656677, 28.245129242945932 41.074495803790796, 28.24531967978599 41.074643409565859, 28.245362595130228 41.074607013652127, 28.245255306769632 41.074497825789948, 28.245488658953928 41.074362351708878))"
0314 Bayrampaşa Abdi İpekçi Caddesi,899,Bayrampaşa Abdi İpekçi Caddesi 1,41.0368,28.9121,23,12,17.05.2024 17:19:35,08:30-17:30,YOL ÜSTÜ,15,1500.0,"0-1 Saat : 52,00;1-2 Saat : 66,00;2-4 Saat : 90,00;4-8 Saat : 110,00;Tam Gün : 145,00",BAYRAMPAŞA,YENİDOĞAN MAHALLESİ ABDİ İPEKÇİ CADDESİ BAYRAMPAŞA KAYMAKAMLIĞI ARKASI BAYRAMPAŞA,"POLYGON ((28.91209866462491 41.036943986466092, 28.912173766477327 41.036934882273464, 28.912110734565477 41.036557562959395, 28.912053067071657 41.03656262087334, 28.91209866462491 41.036943986466092))"
0314 Bayrampaşa Abdi İpekçi Caddesi,902,Bayrampaşa Abdi İpekçi Caddesi 4,41.0347,28.9119,16,7,17.05.2024 17:20:49,08:30-17:30,YOL ÜSTÜ,15,1500.0,"0-1 Saat : 52,00;1-2 Saat : 66,00;2-4 Saat : 90,00;4-8 Saat : 110,00;Tam Gün : 145,00",BAYRAMPAŞA,YENİDOĞAN MAHALLESİ ABDİ İPEKÇİ CADDESİ BAYRAMPAŞA KAYMAKAMLIĞI ARKASI BAYRAMPAŞA,"POLYGON ((28.911832366089886 41.034756251007863, 28.911868575911587 41.034761309060208, 28.911880645852154 41.034586300222664, 28.91185114155299 41.034582253770061, 28.911832366089886 41.034756251007863))"
1155 Bayrampaşa Adapark Katlı Otoparkı,2350,Bayrampaşa Adapark Katlı Otoparkı,41.0647,28.8875,650,3,17.05.2024 22:45:01,24 Saat,KAPALI OTOPARK,15,1500.0,"0-1 Saat : 52,00;1-2 Saat : 66,00;2-4 Saat : 73,00;4-8 Saat : 100,00;8-12 Saat : 134,00;Tam Gün : 200,00",BAYRAMPAŞA,BAYRAMPAŞA KOCATEPE MAHALLESİ HUDUT YOLU,"POLYGON ((28.887152938999218 41.064781716967367, 28.88736215130238 41.0648868763766, 28.887743024982495 41.064490505418057, 28.887533812679333 41.064397479234707, 28.887152938999218 41.06475340478999, 28.887152938999218 41.064781716967367))"
1496 Bayrampaşa Altıntepsi Zemin Altı Otoparkı,2892,Bayrampaşa Altıntepsi Zemin  Altı Otoparkı,41.0393,28.9029,110,0,17.05.2024 22:45:03,24 Saat,KAPALI OTOPARK,10,1650.0,"0-1 Saat : 52,00;1-2 Saat : 66,00;2-4 Saat : 73,00;4-8 Saat : 100,00;8-12 Saat : 134,00;Tam Gün : 200,00",BAYRAMPAŞA,BAYRAMPAŞA ALTINTEPSİ MAHALLESİ,"POLYGON ((28.90287889246186 41.039428051332976, 28.902912420074546 41.03940579747745, 28.90294728879174 41.039376462838227, 28.902779650728309 41.039163027655725, 28.902553004066551 41.039282389596629, 28.902697843353355 41.039444235950448, 28.90287889246186 41.039428051332976))"
