properties,latitude,longitude
{'DURAK_ADI': 'Minibüs Durağı'},41.0780810036,28.9340033406
{'DURAK_ADI': 'Minibüs Durağı'},41.0956900307,28.8960496932
{'DURAK_ADI': 'Minibüs Durağı'},41.1004292344,28.8877987316
{'DURAK_ADI': 'Minibüs Durağı'},41.1004062856,28.8741657876
{'DURAK_ADI': 'Minibüs Durağı'},41.100645312,28.874182265
{'DURAK_ADI': 'Minibüs Durağı'},41.1058595736,28.8665027689
{'DURAK_ADI': 'Minibüs Durağı'},41.1078612397,28.8735651259
{'DURAK_ADI': 'Minibüs Durağı'},41.1119815887,28.8651685768
{'DURAK_ADI': 'Minibüs Durağı'},41.077988919,28.889612162
{'DURAK_ADI': 'Minibüs Durağı'},41.0750008684,28.8975353043
{'DURAK_ADI': 'Minibüs Durağı'},41.0858071299,28.8974941277
{'DURAK_ADI': 'Minibüs Durağı'},41.0866637757,28.901134339
{'DURAK_ADI': 'Minibüs Durağı'},41.0397508703,28.9502612514
{'DURAK_ADI': 'Minibüs Durağı'},41.030811851,28.9697356818
{'DURAK_ADI': 'Minibüs Durağı'},40.9726971577,28.7895432755
{'DURAK_ADI': 'Minibüs Durağı'},40.9891137525,28.8490881812
{'DURAK_ADI': 'Minibüs Durağı'},40.9921474193,28.8343461204
{'DURAK_ADI': 'Minibüs Durağı'},40.9866524024,28.8490702478
{'DURAK_ADI': 'Minibüs Durağı'},40.9844521844,28.8618584925
{'DURAK_ADI': 'Minibüs Durağı'},40.977868006,28.8725026092
{'DURAK_ADI': 'Minibüs Durağı'},40.9886499052,28.8761534375
{'DURAK_ADI': 'Minibüs Durağı'},40.9814633929,28.8783264084
{'DURAK_ADI': 'Minibüs Durağı'},40.9831432406,28.8649221469
{'DURAK_ADI': 'Minibüs Durağı'},40.9856306895,28.8590631934
{'DURAK_ADI': 'Minibüs Durağı'},40.986865425,28.8464535064
{'DURAK_ADI': 'Minibüs Durağı'},40.9665732699,28.7984391073
{'DURAK_ADI': 'Minibüs Durağı'},40.9974450739,28.8727776653
{'DURAK_ADI': 'Minibüs Durağı'},41.0714627483,28.9730586255
{'DURAK_ADI': 'Minibüs Durağı'},41.0534108655,28.9618297001
{'DURAK_ADI': 'Minibüs Durağı'},41.0677333082,28.9744985625
{'DURAK_ADI': 'Minibüs Durağı'},41.0678391169,28.9756592343
{'DURAK_ADI': 'Minibüs Durağı'},41.071187187,28.9783046216
{'DURAK_ADI': 'Minibüs Durağı'},41.0799288714,28.9833125451
{'DURAK_ADI': 'Minibüs Durağı'},41.0801750446,29.0095089959
{'DURAK_ADI': 'Minibüs Durağı'},41.0749808262,29.0031870074
{'DURAK_ADI': 'Minibüs Durağı'},41.0501930018,28.9677874873
{'DURAK_ADI': 'Minibüs Durağı'},41.0562331238,28.9658752831
{'DURAK_ADI': 'Minibüs Durağı'},40.9962552761,29.0245410175
{'DURAK_ADI': 'Minibüs Durağı'},40.9960369228,29.0243294364
{'DURAK_ADI': 'Minibüs Durağı'},40.9932120257,29.0257964578
{'DURAK_ADI': 'Minibüs Durağı'},40.9981852915,29.0287107887
{'DURAK_ADI': 'Minibüs Durağı'},40.9981533039,29.0321676767
{'DURAK_ADI': 'Minibüs Durağı'},41.0083175954,29.0362470693
{'DURAK_ADI': 'Minibüs Durağı'},40.9844143947,29.0630932641
{'DURAK_ADI': 'Minibüs Durağı'},40.9931156176,29.0715623815
{'DURAK_ADI': 'Minibüs Durağı'},40.970784049,29.0904208092
{'DURAK_ADI': 'Minibüs Durağı'},40.9694711475,29.1019772188
{'DURAK_ADI': 'Minibüs Durağı'},40.9541152014,29.0972452446
{'DURAK_ADI': 'Minibüs Durağı'},40.9812822804,28.7142800436
{'DURAK_ADI': 'Minibüs Durağı'},41.1953328029,28.7414792153
{'DURAK_ADI': 'Minibüs Durağı'},41.1675112213,28.4973273542
{'DURAK_ADI': 'Minibüs Durağı'},41.1516295453,28.4793373355
{'DURAK_ADI': 'Minibüs Durağı'},41.052657961,28.6281769068
{'DURAK_ADI': 'Minibüs Durağı'},41.0569483756,28.6262633402
{'DURAK_ADI': 'Minibüs Durağı'},40.9988612512,28.6095599054
{'DURAK_ADI': 'Minibüs Durağı'},41.0979866266,28.6094939272
{'DURAK_ADI': 'Minibüs Durağı'},40.9700131461,28.6243750517
{'DURAK_ADI': 'Minibüs Durağı'},40.9872147666,28.6202633831
{'DURAK_ADI': 'Minibüs Durağı'},41.0090474162,28.643478922
{'DURAK_ADI': 'Minibüs Durağı'},41.0750359887,28.6388009193
{'DURAK_ADI': 'Minibüs Durağı'},41.0703291988,28.6470775605
{'DURAK_ADI': 'Minibüs Durağı'},41.0628414597,28.6538537739
{'DURAK_ADI': 'Minibüs Durağı'},41.0804503638,28.6528213021
{'DURAK_ADI': 'Minibüs Durağı'},41.0804975165,28.6529265448
{'DURAK_ADI': 'Minibüs Durağı'},41.1386731939,28.8062768791
{'DURAK_ADI': 'Minibüs Durağı'},41.138519751,28.8062373885
{'DURAK_ADI': 'Minibüs Durağı'},41.1179365516,28.7663647268
{'DURAK_ADI': 'Minibüs Durağı'},41.1179670792,28.7660478646
{'DURAK_ADI': 'Minibüs Durağı'},41.1131330413,28.7677151273
{'DURAK_ADI': 'Minibüs Durağı'},41.0329391393,28.901574214
{'DURAK_ADI': 'Minibüs Durağı'},41.0328207179,28.9008151498
{'DURAK_ADI': 'Minibüs Durağı'},41.0338220323,28.9010777165
{'DURAK_ADI': 'Minibüs Durağı'},41.0337962437,28.9011197166
{'DURAK_ADI': 'Minibüs Durağı'},41.0343961357,28.9030958164
{'DURAK_ADI': 'Minibüs Durağı'},41.0343409147,28.9034801521
{'DURAK_ADI': 'Minibüs Durağı'},41.0324014114,28.9050194259
{'DURAK_ADI': 'Minibüs Durağı'},41.0330117194,28.9083889769
{'DURAK_ADI': 'Minibüs Durağı'},41.0625467415,28.7849128974
{'DURAK_ADI': 'Minibüs Durağı'},41.0291879042,28.7678899798
{'DURAK_ADI': 'Minibüs Durağı'},41.0291798027,28.7680373423
{'DURAK_ADI': 'HİLAL PARK'},41.086694145,28.9887287552
{'DURAK_ADI': 'HİLAL PARK'},41.0860118463,28.9897369634
{'DURAK_ADI': 'ULUS CAD.'},40.987520436,29.2323673692
{'DURAK_ADI': 'DARÜLACEZE ÖNÜ'},40.97729088,29.147584791
{'DURAK_ADI': 'C.YARDIMCI İÖO'},40.9767164241,29.1503214537
{'DURAK_ADI': 'C.YARDIMCI İÖO'},40.9766915858,29.1507529102
{'DURAK_ADI': 'Y.BEYAZIT CAMİİ'},40.8816115558,29.2726299045
{'DURAK_ADI': 'İSMEK'},40.9779490755,29.1443063811
{'DURAK_ADI': 'İSMEK'},40.9779380922,29.1450455335
{'DURAK_ADI': 'MOLLA GÜRANİ CAMİ'},40.914299127,29.2836409842
{'DURAK_ADI': 'FAHRİ KORUTÜRK CAD.'},40.8948115001,29.1922773717
{'DURAK_ADI': 'KARAYEL SOKAK'},40.8966068051,29.1937771958
{'DURAK_ADI': 'TOPÇAMLAR SOKAK'},40.899543015,29.1950561781
{'DURAK_ADI': 'KARTAL SU DEPOSU'},40.9020301061,29.1934940835
{'DURAK_ADI': 'ŞANTİYE ŞEFLİĞİ'},41.1416462108,28.9250936812
{'DURAK_ADI': 'REFHAN TÜMER LİSESİ'},41.0800409461,28.9332087833
{'DURAK_ADI': 'ALİBEYKÖY İTFAİYE'},41.0803566063,28.9374952739
{'DURAK_ADI': 'TUNA CADDESİ'},41.0452589286,28.9057672363
{'DURAK_ADI': 'ALİBEYKÖY STADI'},41.0770902663,28.9483824965
{'DURAK_ADI': 'MALİYE BLOKLARI'},41.0798056453,28.9263965039
{'DURAK_ADI': 'K.HANE KÜLTÜR MERKEZ'},41.0778818303,28.9709976238
{'DURAK_ADI': 'K.HANE KÜLTÜR MERKEZ'},41.0779508905,28.9711687167
{'DURAK_ADI': 'SEFA KÖPRÜSÜ'},41.0678104839,28.9193617247
{'DURAK_ADI': 'SARIGÖL'},41.0669768985,28.9231182194
{'DURAK_ADI': 'SARIGÖL'},41.0670781365,28.9229457683
{'DURAK_ADI': 'CAMİİ KEBİR'},41.0348111075,28.9683781
{'DURAK_ADI': 'MİMAR SİNAN CAMİİ'},41.0692566168,28.9269608617
{'DURAK_ADI': 'MİMAR SİNAN CAMİİ'},41.0699139435,28.9273977499
{'DURAK_ADI': 'MEYDAN CAMİİ'},41.0699011131,28.9073635969
{'DURAK_ADI': 'FATİH SULTAN CAMİİ'},41.098232395,28.8650671646
{'DURAK_ADI': 'KÜÇÜKKÖY İ.H.L.'},41.084491773,28.9106423086
{'DURAK_ADI': 'ABDİ İPEKÇİ CAD.'},41.0853305091,28.906265194
{'DURAK_ADI': 'ABDİ İPEKÇİ CAD.'},41.0854615523,28.9058539397
{'DURAK_ADI': 'ABDİ İPEKÇİ CADDESİ'},41.0854232843,28.906657343
{'DURAK_ADI': 'AVRUPA KONUTLARI'},41.0865325621,28.902356685
{'DURAK_ADI': 'AVRUPA KONUTLARI'},41.08623135,28.9030684708
{'DURAK_ADI': 'KARAYOLLARI MAH.'},41.0888964573,28.8973995382
{'DURAK_ADI': 'KARAYOLLARI MAH.'},41.0887530588,28.8986454748
{'DURAK_ADI': 'TOPKAPI ALT GEÇİT'},41.0223775002,28.9263450215
{'DURAK_ADI': 'MERVE'},41.0829599753,28.8820839284
{'DURAK_ADI': 'TOPKAPI BAYRAMPAŞA'},41.0231365968,28.9242785458
{'DURAK_ADI': 'TOPKAPI BAYRAMPAŞA'},41.023178838,28.9243572541
{'DURAK_ADI': 'KEÇESUYU'},41.0690936102,28.9105276868
{'DURAK_ADI': 'KÜÇÜKKÖY İSTANBUL CD'},41.0704388422,28.9064087448
{'DURAK_ADI': 'KÜÇÜKKÖY İSTANBUL CD'},41.0713313138,28.9052921104
{'DURAK_ADI': 'OTOYOLCULAR SİTESİ'},41.0925680441,29.0205429304
{'DURAK_ADI': 'PARK'},40.8784528846,29.2740934037
{'DURAK_ADI': 'YEDPA'},40.9847681073,29.1665121959
{'DURAK_ADI': 'YEDPA'},40.9850006478,29.1665467556
{'DURAK_ADI': 'LALE SİTESİ'},40.9336056207,29.2843064555
{'DURAK_ADI': 'SAĞLIK OCAĞI'},40.9035132431,29.1861658867
{'DURAK_ADI': 'TEPE TARLA'},40.9741568898,29.1206998737
{'DURAK_ADI': 'TEPE TARLA'},40.9737224084,29.1200439155
{'DURAK_ADI': 'TEKKE SOKAK'},40.9576191471,29.275035414
{'DURAK_ADI': 'İSKİ TESİSLERİ'},40.9376596195,29.2927110823
{'DURAK_ADI': 'Ş. HİKMET EFENDİ CAD'},40.936503013,29.2880213957
{'DURAK_ADI': 'Ş. HİKMET EFENDİ CAD'},40.9364545545,29.2881135687
{'DURAK_ADI': 'KASEM SOKAK'},40.9356698261,29.28474215
{'DURAK_ADI': 'TRABZON CAD.'},40.9363123835,29.2822924089
{'DURAK_ADI': 'ANTALYA CADDESİ'},40.938493848,29.2838162535
{'DURAK_ADI': 'A. İSKENDER K. KURSU'},40.9414437066,29.2851366611
{'DURAK_ADI': 'KEMAH'},40.9486586902,29.2833090623
{'DURAK_ADI': 'HV.UÇ.ER EĞT.KOM.LIĞ'},41.1727289255,29.6161040175
{'DURAK_ADI': 'ÇAYIRBAŞI KÖYÜ'},41.1490272825,29.6469357209
{'DURAK_ADI': 'HAFIZ İMAM SOKAK'},40.984632566,29.0780511189
{'DURAK_ADI': 'MESLEK EĞİTİM MERKEZ'},40.9547772639,29.2798675687
{'DURAK_ADI': 'ŞİLE YOLU'},41.0232031839,29.1290518479
{'DURAK_ADI': 'SAMANDIRA'},40.9862475118,29.2322940973
{'DURAK_ADI': 'OSMANGAZİ CAMİ'},40.986845489,29.2371307304
{'DURAK_ADI': 'ÇİÇEKÇİLER'},40.9858598495,29.233240533
{'DURAK_ADI': 'N.AHMET HASOĞLU İÖO'},40.992720339,29.2484483534
{'DURAK_ADI': 'GENÇOSMAN'},40.994705362,29.2478008999
{'DURAK_ADI': 'GENÇOSMAN'},40.9944631929,29.2480621273
{'DURAK_ADI': 'ÇATALZEYTİN'},40.9973808381,29.2518039814
{'DURAK_ADI': 'ÇATALZEYTİN'},40.9972622961,29.2514511275
{'DURAK_ADI': 'BARAJYOLU'},41.0041941762,29.2598266594
{'DURAK_ADI': 'BARAJ YOLU'},41.0043697386,29.2591623368
{'DURAK_ADI': 'ORHANGAZİ'},41.0046232828,29.2616613571
{'DURAK_ADI': 'TEPEÜSTÜ'},41.0101738088,29.2693052821
{'DURAK_ADI': 'FIRIN'},41.0144967166,29.2731580507
{'DURAK_ADI': 'ÇEŞME'},40.9829848726,29.1147811793
{'DURAK_ADI': 'SPASTİK ÇOCUKLAR VAK'},40.9859746281,29.1257483686
{'DURAK_ADI': 'SPASTİK ÇOCUKLAR VAK'},40.9859422719,29.1254239029
{'DURAK_ADI': 'AYDINLAR SİTESİ'},40.9332229449,29.2131777335
{'DURAK_ADI': 'AYDINLAR SİTESİ'},40.9328868695,29.2127516792
{'DURAK_ADI': 'MESCİD'},40.9405998498,29.2156457169
{'DURAK_ADI': 'GÜZELTEPE İÖO.'},41.0744833018,28.954533
{'DURAK_ADI': 'GÜZELTEPE MEYDANI'},41.0735448386,28.9563254289
{'DURAK_ADI': 'BAŞAK SANAYİ SİTESİ'},41.0690984284,28.9307613929
{'DURAK_ADI': 'VARDAR BULVARI'},41.0698674906,28.9334742367
{'DURAK_ADI': 'ŞENBAĞ'},41.072068837,28.9384709883
{'DURAK_ADI': 'SABANCI ÜNİVERSİTESİ'},40.8884230422,29.3741780841
{'DURAK_ADI': 'SABANCI ÜNİVERSİTESİ'},40.8903534925,29.3730009288
{'DURAK_ADI': 'ESENTEPE'},40.8164113336,29.2902388136
{'DURAK_ADI': 'ESENTEPE'},40.8164323132,29.2902367931
{'DURAK_ADI': 'ÇİÇEKÇİLER'},40.8264380077,29.3176827272
{'DURAK_ADI': 'BAHÇELER'},40.8178844148,29.3013393605
{'DURAK_ADI': 'KALEKAPI'},40.8183913548,29.3053550953
{'DURAK_ADI': 'TUZLA LİSESİ'},40.8205521623,29.3078349779
{'DURAK_ADI': 'TUZLA LİSESİ'},40.8204749426,29.3078341022
{'DURAK_ADI': 'ADLİYE'},40.8219151238,29.3112028757
{'DURAK_ADI': 'SEVENLER CADDESİ'},40.9954272808,29.2272609972
{'DURAK_ADI': 'SEVENLER CADDESİ'},40.9953005048,29.2273990345
{'DURAK_ADI': 'STAD SOKAK'},41.0042471411,29.2282510214
{'DURAK_ADI': 'HUZUREVİ'},40.9314490064,29.1464103343
{'DURAK_ADI': 'KARTAL KÖPRÜSÜ'},40.907002985,29.2120708599
{'DURAK_ADI': 'İÇMELER KÖPRÜSÜ'},40.8494735077,29.2981672228
{'DURAK_ADI': 'KOCA YUSUF İÖO'},41.0408581494,28.8329219008
{'DURAK_ADI': 'HASTANE'},41.0222543612,28.8391478839
{'DURAK_ADI': 'İTFAİYE OKULU'},41.0144190265,28.8361996344
{'DURAK_ADI': 'PAZAR YOLU'},40.998928308,28.8426123913
{'DURAK_ADI': 'BİZİMKÖY'},41.0670009895,28.3055474959
{'DURAK_ADI': 'MURAT ÇEŞME'},41.0687962466,28.2937864296
{'DURAK_ADI': 'BÖLGE TRAFİK'},41.0788593233,28.2387286319
{'DURAK_ADI': 'GÜZELCE YENİ CAMİ'},40.9946424759,28.5264569426
{'DURAK_ADI': 'TATİL CADDESİ'},41.3230637803,28.7204431814
{'DURAK_ADI': 'PİKNİK ALANI-3'},41.14484528,28.7767256649
{'DURAK_ADI': 'KOZALAK SOKAK'},40.9994741442,29.2652539018
{'DURAK_ADI': 'GARANTİ SİTESİ'},40.9402275065,29.3147415177
{'DURAK_ADI': 'BİRKENT SİTESİ'},40.9334764162,29.3242361549
{'DURAK_ADI': 'RUMELİKAVAĞI'},41.1821329739,29.0738433103
{'DURAK_ADI': 'KÖŞEBAŞI'},41.1754667451,29.0510741383
{'DURAK_ADI': 'GÜLYALI'},41.0462764635,28.4055755187
{'DURAK_ADI': 'KADİR HAS ÜNV.'},41.0533785171,28.379484665
{'DURAK_ADI': 'EŞREF BİTLİS CAD'},41.0174895518,28.8879651858
{'DURAK_ADI': 'AKINCILAR MAH'},41.0165352541,28.8690875834
{'DURAK_ADI': 'TURGUT ÖZAL BULVARI'},41.0754861983,28.6620694162
{'DURAK_ADI': 'İMAR BLOKLARI'},41.0800396642,28.9441502653
{'DURAK_ADI': 'EDİRNEKAPI'},41.0293841366,28.9367315033
{'DURAK_ADI': 'YUSUF EFENDİ ÇİFTLİK SOKAK'},41.0424390152,28.9258573955
{},41.0424390152,28.9258573955
{},41.0272532516,29.1006285332
{},41.0624420477,28.3171255079
{'DURAK_ADI': 'BEKİRLİ'},41.2259194651,28.2996953963
{},41.0519229217,29.1095780803
{},41.0784350175,29.2549448768
{'DURAK_ADI': 'Zeytinburnu Mesleki ve Teknik Anadolu'},41.0171466012,28.9156257963
{},41.2259194651,28.2996953963
{'DURAK_ADI': 'Şemsipaşa'},41.0248945696,29.0120665795
{'DURAK_ADI': 'OVACIK'},41.1160888102,29.6175455469
{'DURAK_ADI': 'ÖRCÜNLÜ'},40.9856460111,29.6579488835
{'DURAK_ADI': 'TEKKE MERKEZ'},41.0689618001,29.6634754882
{'DURAK_ADI': 'TEKKE MERKEZ'},41.0677172019,29.663001382
{'DURAK_ADI': 'DEMİRCİLİ'},41.0359665663,29.6497390451
{'DURAK_ADI': 'HASANLI'},41.0179755074,29.6649760515
{'DURAK_ADI': 'SARIKAVAK'},41.0260780016,29.6497255253
{'DURAK_ADI': 'AHMETLİ'},41.1530993249,29.5896050379
{'DURAK_ADI': 'Yeni Şile Devlet Hastanesi'},41.1616815986,29.5713978931
{'DURAK_ADI': 'V. TOPÇU FEN LİSESİ'},41.1685618469,29.538766429
{'DURAK_ADI': 'IŞIK ÜNV. KAMPÜSÜ'},41.1682706843,29.5598458058
{'DURAK_ADI': 'V. TOPÇU FEN LİSESİ'},41.1690505212,29.5392974405
{'DURAK_ADI': 'KIZILCAKÖY SAPAĞI'},41.1694821412,29.5218373989
{'DURAK_ADI': 'KIZILCAKÖY SAPAĞI'},41.1713692573,29.5185239111
{'DURAK_ADI': 'SOFULAR SAPAĞI'},41.1698809581,29.5029551113
{'DURAK_ADI': 'SOFULAR KÖYÜ'},41.1708331093,29.4934563842
{'DURAK_ADI': 'SADIKLI'},41.1871823726,29.4772427886
{'DURAK_ADI': 'ALACALI KÖY SAP.'},41.190322841,29.4643723802
{'DURAK_ADI': 'ALACALI KÖY İÇİ'},41.1832837068,29.4569734041
{'DURAK_ADI': 'Yunus Emre Bulvarı'},41.0973850484,28.8889097224
{'DURAK_ADI': 'Yedikule'},40.9930045282,28.9215571622
{'DURAK_ADI': 'Topkapı'},41.0203025648,28.9185970301
{'DURAK_ADI': 'KUM FABRİKASI'},41.1861588101,29.3524553793
{'DURAK_ADI': 'KARAKİRAZ KÖYİÇİ'},41.1796064605,29.348664045
{'DURAK_ADI': 'IŞIK ÜNV. KAMPÜSÜ'},41.1681634323,29.5597997321
{'DURAK_ADI': 'Değirmenköy (Haliç Sokak)'},41.0990738279,28.0102867491
{'DURAK_ADI': 'V. TOPÇU FEN LİSESİ'},41.1688939573,29.5390651315
{},41.0305740544,29.0936930602
{},41.028611979,29.0911749615
{'DURAK_ADI': 'Minibüs Durağı'},41.0186966631,28.8753439309
{'DURAK_ADI': 'Minibüs Durağı'},41.0162486947,28.8765685648
{'DURAK_ADI': 'Minibüs Durağı'},41.0152447863,28.8752943551
{'DURAK_ADI': 'Minibüs Durağı'},41.0005195678,28.8611998648
{'DURAK_ADI': 'Minibüs Durağı'},41.0193372635,28.8784955293
{'DURAK_ADI': 'Minibüs Durağı'},41.0233741631,28.8767665575
{'DURAK_ADI': 'Minibüs Durağı'},41.0283037322,28.879471024
{'DURAK_ADI': 'Minibüs Durağı'},41.0274724051,28.8797595837
{'DURAK_ADI': 'Minibüs Durağı'},41.0332094764,28.8835025601
{'DURAK_ADI': 'Minibüs Durağı'},41.0273037811,28.8837599923
{'DURAK_ADI': 'Minibüs Durağı'},41.0226294312,28.8855549512
{'DURAK_ADI': 'Minibüs Durağı'},41.022989459,28.8852576778
{'DURAK_ADI': 'Minibüs Durağı'},41.0211233558,28.8795078774
{'DURAK_ADI': 'Minibüs Durağı'},41.0146979343,28.8900755038
{'DURAK_ADI': 'Minibüs Durağı'},41.0126532617,28.8878701244
{'DURAK_ADI': 'Minibüs Durağı'},41.0041765023,28.8904581397
{'DURAK_ADI': 'Minibüs Durağı'},41.0051306701,28.8846617167
{'DURAK_ADI': 'Minibüs Durağı'},41.0187010233,28.8693734232
{'DURAK_ADI': 'Minibüs Durağı'},41.0141222399,28.8707297886
{'DURAK_ADI': 'Minibüs Durağı'},41.0137496294,28.8710449598
{'DURAK_ADI': 'Minibüs Durağı'},41.013781063,28.8716803638
{'DURAK_ADI': 'Minibüs Durağı'},41.0343664283,28.8955590169
{'DURAK_ADI': 'Minibüs Durağı'},41.0351274994,28.8951604701
{'DURAK_ADI': 'Minibüs Durağı'},41.034158623,28.8934234773
{'DURAK_ADI': 'Minibüs Durağı'},41.0340716117,28.8919426987
{'DURAK_ADI': 'Minibüs Durağı'},41.0349816484,28.8926494833
{'DURAK_ADI': 'Minibüs Durağı'},41.035763798,28.8889129983
{'DURAK_ADI': 'Minibüs Durağı'},41.0339767583,28.8860541148
{'DURAK_ADI': 'Minibüs Durağı'},41.0388886456,28.8754289168
{'DURAK_ADI': 'Minibüs Durağı'},41.0381592398,28.8807893645
{'DURAK_ADI': 'Minibüs Durağı'},41.0383665198,28.8808961034
{'DURAK_ADI': 'Minibüs Durağı'},41.0405608426,28.8830273705
{'DURAK_ADI': 'Minibüs Durağı'},41.0495368069,28.8734457055
{'DURAK_ADI': 'Minibüs Durağı'},41.051766533,28.8708790259
{'DURAK_ADI': 'Minibüs Durağı'},41.0518095046,28.8652884387
{'DURAK_ADI': 'Minibüs Durağı'},41.0351529266,28.9128032215
{'DURAK_ADI': 'Minibüs Durağı'},41.0345552244,28.9130642554
{'DURAK_ADI': 'Minibüs Durağı'},41.0346273281,28.9130259213
{'DURAK_ADI': 'Minibüs Durağı'},41.0314118047,28.9147437762
{'DURAK_ADI': 'Minibüs Durağı'},41.0243581668,28.9209976625
{'DURAK_ADI': 'Minibüs Durağı'},41.0281244431,28.9009869905
{'DURAK_ADI': 'Minibüs Durağı'},41.0279097945,28.9086938646
{'DURAK_ADI': 'Minibüs Durağı'},41.033731645,28.8974009355
{'DURAK_ADI': 'Minibüs Durağı'},41.0387312012,28.8982051616
{'DURAK_ADI': 'Minibüs Durağı'},41.0445870116,28.8935647624
{'DURAK_ADI': 'Minibüs Durağı'},41.0468722194,28.8947930179
{'DURAK_ADI': 'Minibüs Durağı'},41.0493519789,28.8943526428
{'DURAK_ADI': 'Minibüs Durağı'},41.0536461015,28.8934233759
{'DURAK_ADI': 'Minibüs Durağı'},41.0655192118,28.893562066
{'DURAK_ADI': 'Minibüs Durağı'},41.0553522088,28.9093501219
{'DURAK_ADI': 'Minibüs Durağı'},41.062793288,28.8987465892
{'DURAK_ADI': 'Minibüs Durağı'},41.0707094948,28.8913855536
{'DURAK_ADI': 'Minibüs Durağı'},41.0798149685,28.8761011124
{'DURAK_ADI': 'Minibüs Durağı'},41.0958083553,28.8635239565
{'DURAK_ADI': 'Minibüs Durağı'},41.0942149722,28.8636501573
{'DURAK_ADI': 'Minibüs Durağı'},41.0983470238,28.8630001121
{'DURAK_ADI': 'Minibüs Durağı'},41.1022567397,28.8623559071
{'DURAK_ADI': 'Minibüs Durağı'},41.1042686292,28.8614095399
{'DURAK_ADI': 'Minibüs Durağı'},41.1042221921,28.8615909877
{'DURAK_ADI': 'Minibüs Durağı'},41.1026749917,28.8623246404
{'DURAK_ADI': 'Minibüs Durağı'},41.107208751,28.8601773839
{'DURAK_ADI': 'Minibüs Durağı'},41.1074547909,28.8598899809
{'DURAK_ADI': 'Minibüs Durağı'},41.1111208139,28.8581316877
{'DURAK_ADI': 'Minibüs Durağı'},41.1119693413,28.8579025007
{'DURAK_ADI': 'Minibüs Durağı'},41.1130930751,28.8571324949
{'DURAK_ADI': 'Minibüs Durağı'},41.1151943638,28.8530744329
{'DURAK_ADI': 'Minibüs Durağı'},41.1050114408,28.8635138006
{'DURAK_ADI': 'Minibüs Durağı'},41.1042425796,28.8636906104
{'DURAK_ADI': 'Minibüs Durağı'},41.1057580841,28.8684186716
{'DURAK_ADI': 'Minibüs Durağı'},41.1085814812,28.8781192478
{'DURAK_ADI': 'Minibüs Durağı'},41.1008907289,28.8874041817
{'DURAK_ADI': 'Minibüs Durağı'},41.0978195416,28.9077016092
{'DURAK_ADI': 'Minibüs Durağı'},41.0210575474,28.9139030585
{'DURAK_ADI': 'Minibüs Durağı'},40.9982947516,28.9060481035
{'DURAK_ADI': 'Minibüs Durağı'},40.9942048269,28.9039868623
{'DURAK_ADI': 'Minibüs Durağı'},41.0042500662,28.9206252425
{'DURAK_ADI': 'Minibüs Durağı'},41.0043734494,28.9207424957
{'DURAK_ADI': 'Minibüs Durağı'},41.018951988,28.9214255465
{'DURAK_ADI': 'Minibüs Durağı'},41.0197603987,28.9169756076
{'DURAK_ADI': 'Minibüs Durağı'},41.0206452556,28.9161110102
{'DURAK_ADI': 'Minibüs Durağı'},41.0211617272,28.915699913
{'DURAK_ADI': 'Minibüs Durağı'},41.0232697104,28.9104901098
{'DURAK_ADI': 'Minibüs Durağı'},41.0884455588,28.9417598615
{'DURAK_ADI': 'Minibüs Durağı'},41.0840841212,28.9235662266
{'DURAK_ADI': 'Minibüs Durağı'},41.0816304626,28.9245878828
{'DURAK_ADI': 'Minibüs Durağı'},41.0802144445,28.9300060978
{'DURAK_ADI': 'Menekşe Sokak'},41.1285990297,29.0420796474
{'DURAK_ADI': 'Paşalimanı'},41.0280497091,29.016217614
{'DURAK_ADI': 'Deliklikaya Hadımköy Kiptaş'},41.1119510783,28.6638155015
{'DURAK_ADI': 'Hızırefendi Cad.'},41.090431166,28.9149703035
{'DURAK_ADI': 'Büyükşehir Cad.'},41.0119907864,28.6481230967
{'DURAK_ADI': 'SUATLAR'},41.2034652814,28.7427351273
{'DURAK_ADI': 'Başakşehir Çam ve Sakura Hastanesi'},41.0982789336,28.7765890454
{'DURAK_ADI': 'KULELİ'},40.9926569601,28.8338302447
{'DURAK_ADI': 'Şirinevler'},40.9920632526,28.8478426982
{'DURAK_ADI': 'ÜMRANİYE'},41.0247635108,29.1020007784
{'DURAK_ADI': 'Tabya'},41.0440217284,28.8564652825
{'DURAK_ADI': 'ZÜBEYDE HANIM'},41.1094093527,28.9064129581
{'DURAK_ADI': '2336.SOKAK'},41.1028365722,28.8722409827
{'DURAK_ADI': 'Tavukçuyolu Cad.'},41.0033312419,29.152668954
{'DURAK_ADI': 'YENİŞEHİR İÖO.'},41.0070945278,29.1376803976
{'DURAK_ADI': 'Yeni Şile Devlet Hastanesi'},41.1615725451,29.5713308433
{'DURAK_ADI': 'Minibüs Durağı'},40.8999436814,29.2185485974
{'DURAK_ADI': 'Minibüs Durağı'},40.8987514858,29.2175580687
{'DURAK_ADI': 'Minibüs Durağı'},40.9021908556,29.216834029
{'DURAK_ADI': 'Minibüs Durağı'},40.9039865637,29.2140787096
{'DURAK_ADI': 'Minibüs Durağı'},40.9019485153,29.2080607481
{'DURAK_ADI': 'Minibüs Durağı'},40.9010260766,29.2069601884
{'DURAK_ADI': 'AHMETLİ'},41.1527779647,29.5896333915
{'DURAK_ADI': 'İSAKÖY'},41.1070857324,29.823689718
{'DURAK_ADI': 'Minibüs Durağı'},41.0753859282,29.7990929867
