properties,latitude,longitude
{'DURAK_ADI': 'FİRUZKÖY SAPAĞI'},41.0076572672,28.7043674419
{'DURAK_ADI': 'POLİS MERKEZİ'},41.0095630843,28.7079240811
{'DURAK_ADI': 'KARTAL'},40.8862458064,29.1950660017
{'DURAK_ADI': 'GÜNEYLİ SOKAK'},40.9970276119,29.154939147
{'DURAK_ADI': 'KONAK SOKAK'},40.9579491382,29.1013105731
{'DURAK_ADI': 'ÇİFTLİK YOLU'},40.9799657562,29.1277500422
{'DURAK_ADI': 'ÇİFTLİK'},40.9851704108,29.1371724038
{'DURAK_ADI': 'GÜMRÜK BÖLGE MD.LÜĞÜ'},40.982779485,29.1341288501
{'DURAK_ADI': 'ALİ NİHAT TARLAN CAD'},40.9613757502,29.1028170529
{'DURAK_ADI': 'YEŞİL YAMAÇ'},40.9897739213,29.1476355818
{'DURAK_ADI': 'KEMALPAŞA'},40.9925354976,29.1531650953
{'DURAK_ADI': 'Eski Kadıköy Yolu'},41.0170569887,29.1326107362
{'DURAK_ADI': 'Paşalimanı'},41.0278562734,29.0162247512
{'DURAK_ADI': 'KADIKÖY'},40.9952376614,29.0235254816
{'DURAK_ADI': 'KARTAL MEYDAN'},40.8895203805,29.1903608976
{'DURAK_ADI': 'KARTAL ÇARŞI'},40.8891439274,29.1853681017
{'DURAK_ADI': 'Y.SELİM DVL.HAST.'},40.8890357349,29.1821001003
{'DURAK_ADI': 'Doğan Araslı Bulvarı'},41.0164324601,28.6904838876
{'DURAK_ADI': '833. Yanyol'},40.9823176069,28.7580374165
{'DURAK_ADI': '833. Yanyol'},40.9852515486,28.7663836505
{'DURAK_ADI': 'KÜÇÜKÇEKMECE KUBİLAY'},40.9861695492,28.7705295351
{'DURAK_ADI': 'KÜÇÜKÇEKMECE KAVŞAĞI'},40.9866895113,28.768464961
{'DURAK_ADI': 'KİPTAŞ KONUTLARI'},41.0014337225,28.6941651008
{'DURAK_ADI': 'FORUM İSTANBUL'},41.0481739801,28.8984226615
{'DURAK_ADI': 'Akseki Sokak'},40.9691798829,29.2594563471
{'DURAK_ADI': 'Terminal Meydanı'},41.1739112054,29.608770367
{'DURAK_ADI': 'Şile Terminal'},41.1734847902,29.6087519337
{'DURAK_ADI': 'Ovacık'},41.1192976361,29.6175299474
{'DURAK_ADI': 'Çelebiköy'},41.0937154427,29.9031419336
{'DURAK_ADI': 'Köprübaşı'},41.0061498587,29.0717553188
{},41.0920313678,28.3314401953
{},41.0652876176,29.0801342859
{},41.2259194651,28.2996953963
{'DURAK_ADI': 'DÜĞMECİLER'},41.0448236063,28.9202140749
{'DURAK_ADI': 'SÖĞÜTLÜÇEŞME'},41.0236534374,28.7838201104
{'DURAK_ADI': 'LEYLEK'},41.0060834026,28.7830525891
{'DURAK_ADI': 'ONURKENT'},41.1103089415,28.792821689
{'DURAK_ADI': 'Mustafa Kemal Atatürk Cad.'},41.1152303669,28.4510680822
{'DURAK_ADI': 'Kazım Savaş Cad.'},41.1247775141,28.4482457641
{'DURAK_ADI': 'Hadımköy-İstanbul Cad.'},41.1367992542,28.6232908313
{'DURAK_ADI': 'Hadımköy-İstanbul Cad.'},41.1294489777,28.6241973575
{'DURAK_ADI': 'İslambol Cad.'},41.1223101938,28.624470877
{'DURAK_ADI': 'Arif Nihat Asya Cad.'},41.1871623504,28.4036106667
{'DURAK_ADI': 'Kuzeyoğlu Cad.'},41.1068806203,28.5049132959
{'DURAK_ADI': 'Karadeniz Cad.'},41.0325185004,29.1538374185
{'DURAK_ADI': 'Vaha Cad.'},41.0933014843,28.4945625212
{'DURAK_ADI': 'Çarşı Cad.'},41.1866232371,28.5561560104
{'DURAK_ADI': 'İzzetbaba Cad.'},41.1812545556,28.5171283868
{'DURAK_ADI': 'Özgürlük Cad.'},41.1771451271,28.5036330025
{'DURAK_ADI': 'Tevfik Erdönmez Cad.'},41.1436990184,28.4602790083
{'DURAK_ADI': 'Narlıdere Sk.'},41.0157869347,28.8471653715
{'DURAK_ADI': 'KARAKENT SİTESİ'},41.0107101018,28.8501046773
{'DURAK_ADI': 'Çavuşpaşa Cad.'},41.0080008546,28.8496990486
{'DURAK_ADI': 'Lavanta Çiçeği Sk.'},40.9973286057,28.8738508328
{'DURAK_ADI': 'Melek Aras Bulvarı'},40.8807568796,29.3910923122
{'DURAK_ADI': 'Çatalca Cad.'},41.1148380719,28.4508595594
{'DURAK_ADI': 'Turgut Özal Bulvarı'},40.9982106022,29.1512790446
{'DURAK_ADI': 'Mustafa Kemal Atatürk Cad.'},40.9464496427,29.111587337
{'DURAK_ADI': 'Melek Aras Bulvarı'},40.8808251036,29.3910241631
{'DURAK_ADI': '5. Sk.'},40.8842056228,29.3883568812
{'DURAK_ADI': 'Gazi Bulvarı'},40.884143952,29.3884183402
{'DURAK_ADI': 'Gazi Bulvarı'},40.887178209,29.3947112308
{'DURAK_ADI': 'Gazi Bulvarı'},40.8871416619,29.3947588471
{'DURAK_ADI': 'Melek Aras Bulvarı'},40.8864253369,29.399000115
{'DURAK_ADI': 'Melek Aras Bulvarı'},40.8863538759,29.3990422351
{'DURAK_ADI': 'Aromatik Cad.'},40.888637636,29.4008183596
{'DURAK_ADI': 'Aromatik Cad.'},40.8886500279,29.4008834659
{'DURAK_ADI': 'Zeki Müren Sk.'},40.996403128,28.8500859074
{'DURAK_ADI': '2364. Sk.'},41.1059237694,28.8795114065
{'DURAK_ADI': 'Galeri Cad.'},41.0828542943,28.894834888
{'DURAK_ADI': '2375. Sk.'},41.0927277894,28.8868520711
{'DURAK_ADI': '2375. Sk.'},41.09282152,28.8867506747
{'DURAK_ADI': 'İç Yol'},40.9958939321,28.8754617815
{'DURAK_ADI': 'Düğmeciler Cad.'},41.0482418297,28.9295279124
{'DURAK_ADI': 'Çevreyolu Cad.'},41.0347040954,28.9176641362
{'DURAK_ADI': 'Şehir Parkı Cad.'},41.0527209121,28.8930322374
{'DURAK_ADI': 'Hekimsuyu Cad.'},41.0858011831,28.9083295743
{'DURAK_ADI': 'BAŞTABYA'},41.088538715,28.8660094928
{'DURAK_ADI': 'BAŞTABYA'},41.0882532911,28.8659419961
{'DURAK_ADI': 'D-100 Karayolu'},41.0259584957,28.4659626001
{'DURAK_ADI': 'D-100 Karayolu'},41.0238551758,28.4706176871
{'DURAK_ADI': 'Aydınlar Cad.'},41.0220526035,28.4740567034
{'DURAK_ADI': 'Öztekin Cad.'},41.0353632837,28.8960447184
{'DURAK_ADI': 'Şehit Nedim Özpolat Sk.'},40.9205655906,29.1324372776
{'DURAK_ADI': 'İnönü Cad.'},40.9224082422,29.1348842062
{'DURAK_ADI': 'Feyzullah Cad.'},40.9232548091,29.1335312547
{'DURAK_ADI': 'İnönü Cad.'},40.9260543262,29.1400247381
{'DURAK_ADI': 'Feyzullah Cad.'},40.9270934395,29.1391481449
{'DURAK_ADI': 'İnönü Cad.'},40.9282584745,29.1426350571
{'DURAK_ADI': 'İnönü Cad.'},40.9294781282,29.144253781
{'DURAK_ADI': 'Maltepe Karacabey Köprülü Kavşağı'},40.9307290788,29.1467160648
{'DURAK_ADI': 'İnönü Cad.'},40.9241197061,29.1364665957
{'DURAK_ADI': 'Telsizler Cad.'},40.9435397399,29.1654346599
{'DURAK_ADI': 'Dörtel Çıkmazı'},40.9423220223,29.1317259258
{'DURAK_ADI': 'Validesuyu Cad.'},41.1596658521,29.0973146632
{'DURAK_ADI': 'Bent Cad.'},41.0793412124,29.0764119054
{'DURAK_ADI': 'E-5 Çırpıcı Yanyol Cad.'},41.001301171,28.887477729
{'DURAK_ADI': 'E-5 Çırpıcı Yanyol Cad.'},41.0014384065,28.8888616191
{'DURAK_ADI': 'CEBE ALİ BEY SOKAK'},41.0216717293,28.9099388983
{'DURAK_ADI': 'İNÖNÜ CADDESİ'},41.059781193,28.8316055732
{'DURAK_ADI': 'GÜNGÖREN ÇEŞMEÜ'},41.0190355677,28.88313729
{'DURAK_ADI': 'ESENKENT PARK'},41.0622533342,28.6689085232
{'DURAK_ADI': 'Hoşdere Esenyurt Yolu'},41.0623127269,28.6687330219
{'DURAK_ADI': 'Barbaros Cad.'},41.1103247036,29.0848586391
{'DURAK_ADI': 'Atatürk Cad.'},41.0886220875,29.0868328265
{'DURAK_ADI': 'Mihrişah Valide Sultan Cad.'},41.082203829,29.0695991171
{'DURAK_ADI': 'Çiftlik Cad.'},41.0932978048,29.0682934907
{'DURAK_ADI': 'Saip Molla Cad.'},41.1167381004,29.0965773728
{'DURAK_ADI': 'Bahri Yaşar Yılmaz Cad.'},41.1166701197,29.1462832077
{'DURAK_ADI': 'Bahri Yaşar Yılmaz Cad.'},41.115232794,29.14785199
{'DURAK_ADI': 'Fatih Sultan Mehmet Cad.'},41.1201228769,29.1453101655
{'DURAK_ADI': 'Polonez Cad.'},41.121094971,29.1359895596
{'DURAK_ADI': 'Soğuksu Cad.'},41.1184279349,29.1222578121
{'DURAK_ADI': 'Zuhuratbaba Cad.'},40.9822205968,28.8730731619
{'DURAK_ADI': 'Abdi İpekçi Cad.'},41.0205888904,28.867626987
{'DURAK_ADI': 'Esenler Cad.'},41.0350264941,28.8677324721
{'DURAK_ADI': 'Bağlar Cad.'},41.0277096193,28.8691319701
{'DURAK_ADI': 'Müjde Sk.'},41.0576456847,28.8449871127
{'DURAK_ADI': 'Dereboyu Cad.'},41.0293012103,28.8070880162
{'DURAK_ADI': 'Üniversite Cad.'},40.8884332413,29.3743344874
{'DURAK_ADI': 'Selçuklu Cad.'},40.9353673943,29.2834850905
{'DURAK_ADI': 'Selçuklu Cad.'},40.9352924729,29.2833164096
{'DURAK_ADI': 'Aydos Cad.'},40.9077848593,29.2531843283
{'DURAK_ADI': 'BÜYÜKDERE'},41.1595593576,29.0420278479
{'DURAK_ADI': 'Muhsin Yazıcıoğlu Cad.'},40.8917626105,29.2695261057
{'DURAK_ADI': 'Soğuksu Cad.'},41.118189008,29.119171152
{'DURAK_ADI': 'Soğuksu Cad.'},41.1167719203,29.1152874154
{'DURAK_ADI': 'Köyönü Cad.'},41.1182654586,29.1000763472
{'DURAK_ADI': 'Çağlayan Sk.'},40.9127286819,29.2476804153
{'DURAK_ADI': 'Ayazma Cad.'},40.8965642489,29.2369318822
{'DURAK_ADI': 'Mehtap Sk.'},40.9006890421,29.2467102321
{'DURAK_ADI': 'Mehtap Sk.'},40.8982745316,29.2470731767
{'DURAK_ADI': '450 Konutlar Cad.'},40.8983029237,29.2493843924
{'DURAK_ADI': 'Aydınlar Cad.'},41.0167978285,28.4826558559
{'DURAK_ADI': 'Kuşdili Sk.'},41.0102941786,28.4997267124
{'DURAK_ADI': 'Şarkı Sk.'},41.00687256,28.5107070286
{'DURAK_ADI': 'PTT Cad.'},41.0019509414,28.5113151372
{'DURAK_ADI': 'PTT Cad.'},40.9995815419,28.511883888
{'DURAK_ADI': 'Bağlantı Yolu'},41.0164964925,28.5624241163
{'DURAK_ADI': 'Karşıyaka Cad.'},41.050869543,28.4192144813
{'DURAK_ADI': 'Uludere Sk.'},41.0517190268,28.4173094539
{'DURAK_ADI': 'İskele Cad.'},41.0165880261,28.5623164515
{'DURAK_ADI': 'Ridaniye Sk.'},41.0178380554,28.5284838883
{'DURAK_ADI': 'Eski Silivri Cad.'},41.0173546925,28.554505491
{'DURAK_ADI': 'Bağlantı Yolu'},41.0170440552,28.5631067807
{'DURAK_ADI': 'Eski Silivri Cad.'},41.0145437286,28.545455605
